SEQ_AREA;Área;VAL_NACIONAL;DSC_FASE;tem correspondente?
4308;CAMARUPIM;5.659.335.104.181.090;Produção;Sim
4309;CAMARUPIM NORTE;3.037.084.450.400.000;Produção;Sim
1345;CAN;8.652.387.829.999.990;Desenvolvimento;Não
1345;CAN;11.487.965.319.956.800;Produção;Não
4311;CANAPU;32.890.248.815.999.900;Desenvolvimento;Sim
4311;CANAPU;3.523.358.533.715.900;Produção;Sim
4655;CANÁRIO;218470000;Desenvolvimento;Sim
4655;CANÁRIO;34.690.482.016.059;Produção;Sim
139133;CANÁRIO DA TERRA;42.815.010.629.999.900;Desenvolvimento;Sim
139133;CANÁRIO DA TERRA;387898.45;Produção;Sim
265952;CANÁRIO DA TERRA SUL;0;Desenvolvimento;Sim
4312;CANCÃ;5.024.268.564.300.000;Desenvolvimento;Sim
4312;CANCÃ;5.630.118.240.242.680;Produção;Sim
144136;CANCÃ LESTE;6.059.961.923.000.000;Desenvolvimento;Sim
144136;CANCÃ LESTE;274298.69;Produção;Sim
2151;CAR;75476782.47;Desenvolvimento;Não
2151;CAR;70412433.86;Produção;Não
4035;CARAPITANGA;0;Desenvolvimento;Sim
4314;CARAPÓ;73384.94;Desenvolvimento;Sim
4187;CARATAÍ;15.862.093.799.999.900;Desenvolvimento;Sim
4485;CARCARÁ;16.261.560.200.799.900;Desenvolvimento;Sim
4486;CARDEAL;12.100.811.701.199.900;Desenvolvimento;Sim
4486;CARDEAL;8.393.981.563.999.990;Produção;Sim
4657;CARDEAL AMARELO;38.247.730.999.999.900;Desenvolvimento;Sim
4659;CARDEAL DO NORDESTE;5.113.963.144.797.990;Desenvolvimento;Sim
4660;CARDEAL-BA;34.410.595.000.000.000;Desenvolvimento;Sim
4038;CARMÓPOLIS NOROESTE;1112286.08;Desenvolvimento;Sim
4039;CARMÓPOLIS SUDOESTE;35.795.307.999.999.900;Desenvolvimento;Sim
4189;CATUÁ;10681255.62;Desenvolvimento;Sim
3948;CAVALO-MARINHO;13070690.64;Desenvolvimento;Sim
3948;CAVALO-MARINHO;-1951.95;Produção;Sim
4190;CAXAREU;20.131.569.426.999.900;Desenvolvimento;Sim
2495;CB;9.980.341.400.000.000;Desenvolvimento;Não
2495;CB;2.116.933.348.819.900;Produção;Não
3482;CB;7.833.558.968.000.000;Desenvolvimento;Não
3482;CB;6.032.744.838.423.630;Produção;Não
1346;CCN;25.795.489.540.000.000;Desenvolvimento;Não
1346;CCN;37.220.842.045.283.500;Produção;Não
1347;CD;20.506.226.450.000.000;Desenvolvimento;Não
1347;CD;294.555.029.995.038;Produção;Não
2496;CER;15.554.319.619.999.900;Desenvolvimento;Não
2496;CER;2.308.325.587.031.350;Produção;Não
1247;CG;5.709.627.254.200.000;Desenvolvimento;Não
1247;CG;15.042.583.781.732.200;Produção;Não
1348;CG;6.054.689.280.000.000;Desenvolvimento;Não
1348;CG;13.541.628.964.888.400;Produção;Não
3483;CG;283843;Desenvolvimento;Não
3483;CG;3964388;Produção;Não
2497;CGL;72107618.74;Desenvolvimento;Não
2497;CGL;4.912.855.126.821.680;Produção;Não
1248;CH;12.767.065.934.899.900;Desenvolvimento;Não
1248;CH;466.544.673.392.392;Produção;Não
4489;CHAUÁ;452100;Desenvolvimento;Sim
4489;CHAUÁ;167740;Produção;Sim
4490;CHOPIM;4.904.560.000.000.000;Desenvolvimento;Sim
4041;CIDADE DE ARACAJU;0;Desenvolvimento;Sim
4041;CIDADE DE ARACAJU;16.629.597.530.525;Produção;Sim
4127;CIDADE DE SEBASTIÃO FERREIRA;4.826.002.050.576;Produção;Sim
4491;CIOBA;9.490.855.883.999.990;Desenvolvimento;Sim
4491;CIOBA;16.675.145.237.824.400;Produção;Sim
3484;CL;17.970.449.060.999.900;Desenvolvimento;Não
3484;CL;972.857.323.113.294;Produção;Não
3485;CM;3.001.782.832.700.000;Desenvolvimento;Não
3485;CM;11.456.875.132.696.900;Produção;Não
1197;C-M-466;2.878.657.997.499.990;Produção;Não
1223;C-M-592;20.819.621.600.000.000;Produção;Não
1249;CO;36.744.980.099.000.000;Desenvolvimento;Não
1249;CO;2.260.241.585.732.280;Produção;Não
1349;COG;6584094.33;Desenvolvimento;Não
1349;COG;612741.97;Produção;Não
4492;COLIBRI;10.497.331.499.999.900;Desenvolvimento;Sim
3764;CON;16.288.653.220.000.000;Desenvolvimento;Não
3764;CON;560.472.012.527.398;Produção;Não
4493;CONCRIZ;4.723.048.802.040.000;Desenvolvimento;Sim
4493;CONCRIZ;281.803.382;Produção;Sim
4129;COQUEIRO SECO;83400;Desenvolvimento;Sim
4129;COQUEIRO SECO;28.554.323.513.786;Produção;Sim
4320;CÓRREGO CEDRO NORTE SUL;13.373.000.000.000.000;Desenvolvimento;Sim
4320;CÓRREGO CEDRO NORTE SUL;262705.4;Produção;Sim
4317;CORRUIRA;33.939.785.999.999.900;Desenvolvimento;Sim
1350;CP;17238283.18;Desenvolvimento;Não
1350;CP;15.954.401.827.234.400;Produção;Não
3486;CP;36.124.102.645.099.900;Desenvolvimento;Não
3486;CP;5.882.128.579.609.330;Produção;Não
1298;CR;19.220.910.718.999.900;Desenvolvimento;Não
1298;CR;101.830.262.536.817;Produção;Não
4318;CREJOÁ;7363500;Desenvolvimento;Sim
4318;CREJOÁ;1717150;Produção;Sim
2849;CRL;36.486.638.857.000.000;Desenvolvimento;Não
2849;CRL;4.942.353.341.867.060;Produção;Não
1250;CRP;603220728.38;Desenvolvimento;Não
1250;CRP;5.185.206.251.892.850;Produção;Não
3706;CRP;7.228.814.229.999.990;Desenvolvimento;Não
3706;CRP;17165324.77;Produção;Não
1251;CRT;13.995.416.924.099.900;Desenvolvimento;Não
1251;CRT;10.685.553.651.593.300;Produção;Não
2850;CRV;10.591.464.961.999.900;Desenvolvimento;Não
770;CS;16.132.436.293.638.000;Produção;Não
2498;CS;60.767.589.390.000.000;Desenvolvimento;Não
2498;CS;10.585.663.116.847.700;Produção;Não
771;CSF;10.422.340.989.524;Produção;Não
772;CSM;7.089.566.774.000.000;Desenvolvimento;Não
772;CSM;20.760.199.458.179.700;Produção;Não
3707;CUP;4805785.41;Desenvolvimento;Não
3707;CUP;73.140.696.269.241;Produção;Não
2499;CX;33.742.766.989.000.000;Desenvolvimento;Não
2499;CX;4.319.436.248.956.010;Produção;Não
2500;DA;1653125.14;Desenvolvimento;Não
2500;DA;9.603.422.000.000.000;Produção;Não
4494;DENTÃO;1333098.91;Desenvolvimento;Sim
4494;DENTÃO;33.855.723.999.999.900;Produção;Sim
2501;DJ;44.210.670.211.000.000;Desenvolvimento;Não
2501;DJ;3.678.807.492.421.160;Produção;Não
